,paths_found,paths_not_found,paths_are_equal,paths_are_longer,prediction_time
0.3,0.6135,0.3865,0.9926650366748166,0.006519967400162999,0.06556216438392688
0.4,0.585,0.415,0.9931623931623932,0.005982905982905983,0.06538991739655686
0.5,0.5495,0.4505,0.9963603275705186,0.00272975432211101,0.06314722700915736
0.6,0.5135,0.4865,0.9951314508276533,0.0038948393378773127,0.06461585909799077
0.7,0.483,0.517,0.9958592132505176,0.003105590062111801,0.06730540219755873
0.8,0.4605,0.5395,0.998914223669924,0.0010857763300760044,0.06535431514566335
0.9,0.4265,0.5735,0.9988276670574443,0.0011723329425556857,0.06430826394661716
